Name of the Plant,Family,Common Name,Link,Uses
Ammi visnaga  (L.) Lam.,APIACEAE,Toothpick plant (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013755&column=szBarcode,"""UNKNOWN USE"""
Amomum aromaticum  Roxb.,ZINGIBERACEAE,Morang elaichi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003152&column=szBarcode,"""UNKNOWN USE"""
Amomum subulatum  Roxb.,ZINGIBERACEAE,"Bari elachi, Baara aliach (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003153&column=szBarcode,"""UNKNOWN USE"""
Amorphophallus paeoniifolius  (Dennst.) Nicolson,ARACEAE,"Suranakanda, Jamikanda",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003223&column=szBarcode,"""UNKNOWN USE"""
Ampelocissus areneosa  (Laws.) Planch.,VITACEAE,Kauraj,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003612&column=szBarcode,"""UNKNOWN USE"""
Ampelocissus arnottiana  (Wight & Arn.) Planch.,VITACEAE,Jangli-angur,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003613&column=szBarcode,"""UNKNOWN USE"""
Ampelocissus latifolia  (Roxb.) Planch.,VITACEAE,Panibel,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003610&column=szBarcode,"""UNKNOWN USE"""
Ampelocissus tomentosa  (Roth) Planch.,VITACEAE,Atukulabadda (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003611&column=szBarcode,"""UNKNOWN USE"""
Anacardium occidentale  L.,ANACARDIACEAE,Kaju,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003570&column=szBarcode,"""UNKNOWN USE"""
Anagallis arvensis  L.,PRIMULACEAE,Jonkmari,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009231&column=szBarcode,"""UNKNOWN USE"""
Anamitra cocculus  Wight & Arn.,MENISPERMACEAE,Kakamari (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013995&column=szBarcode,"""UNKNOWN USE"""
Ananas comosus  (L.) Merr.,BROMELIACEAE,Kazudhachakka (Mal.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003133&column=szBarcode,"""UNKNOWN USE"""
Anaphalis neelgerryana  DC.,ASTERACEAE,Raktaskandana (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013623&column=szBarcode,"""UNKNOWN USE"""
Andrographis echinoides  (L.) Nees,ACANTHACEAE,Birkubat,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009045&column=szBarcode,"""UNKNOWN USE"""
Andrographis paniculata  (Burm.) Wall. ex Nees,ACANTHACEAE,Kirayat,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009046&column=szBarcode,"""UNKNOWN USE"""
Andropogon sorghum  (L.) Brot.,POACEAE,Kafir (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003169&column=szBarcode,"""UNKNOWN USE"""
Anemone narcissiflora  L.,RANUNCULACEAE,Narcissus anemone (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009954&column=szBarcode,"""UNKNOWN USE"""
