drug_chembl_id,drug_name,substrate_chembl_id,substrate_name,metabolite_chembl_id,metabolite_name,enzyme_name,enzyme_tid,organism,pathway_id,pathway_key,met_conversion,met_comment,references
CHEMBL445990,PRAZOSIN,CHEMBL445990,CBIO,CHEMBL3542313,CBIO-glucuronide,UDP-glucuronosyltransferases,,,1,fig 4,,"""Species:Homo sapiens, Mus musculus|Conditions:Liver microsomes""",22837388
CHEMBL165,PRAZOSIN,CHEMBL165,"""RES, trans-resveratrol""",CHEMBL1208633,R3S,,,,1,fig 1,,"""Species:Homo sapiens, Mus musculus""",23474649
CHEMBL165,PRAZOSIN,CHEMBL165,"""RES, trans-resveratrol""",CHEMBL3526289,R3G,,,,1,fig 1,,"""Species:Homo sapiens, Mus musculus""",23474649
CHEMBL833,PRAZOSIN,CHEMBL833,Ticlopidine,CHEMBL3526245,M1,CYP2B4,CHEMBL1743542,,1,Fig5,,"""Species:Homo sapiens 2B6,Oryctolagus cuniculus 2B4""",21156812
CHEMBL833,PRAZOSIN,CHEMBL833,Ticlopidine,CHEMBL3526247,M3,CYP2B4,CHEMBL1743542,,1,Fig5,,"""Species:Homo sapiens 2B6,Oryctolagus cuniculus 2B4""",21156812
CHEMBL833,PRAZOSIN,CHEMBL833,Ticlopidine,CHEMBL3526246,M2,CYP2B4,CHEMBL1743542,,1,Fig5,,"""Species:Homo sapiens 2B6,Oryctolagus cuniculus 2B4""",21156812
CHEMBL833,PRAZOSIN,CHEMBL833,Ticlopidine,CHEMBL3527031,M5,CYP2B4,CHEMBL1743542,,1,Fig5,,"""Species:Homo sapiens 2B6,Oryctolagus cuniculus 2B4""",21156812
CHEMBL833,PRAZOSIN,CHEMBL833,Ticlopidine,CHEMBL3542353,Ticlopidine S-oxide,CYP2B4,CHEMBL1743542,,1,Fig5,,"""Species:Homo sapiens 2B6,Oryctolagus cuniculus 2B4""",21156812
CHEMBL833,PRAZOSIN,CHEMBL3526247,M3,CHEMBL3526248,M4,CYP2B4,CHEMBL1743542,,1,Fig5,,"""Species:Homo sapiens 2B6,Oryctolagus cuniculus 2B4""",21156812
CHEMBL833,PRAZOSIN,CHEMBL3542353,Ticlopidine S-oxide,CHEMBL3527060,M6,CYP2B4,CHEMBL1743542,,1,Fig5,,"""Species:Homo sapiens 2B6,Oryctolagus cuniculus 2B4""",21156812
CHEMBL3526905,PRAZOSIN,CHEMBL3526244,Intermediate II,CHEMBL3526620,M15,,,,1,fig 8,,"""Species: Rattus norvegicus,Macaca fascicularis""",21177486
CHEMBL3526905,PRAZOSIN,CHEMBL3526244,Intermediate II,CHEMBL3526470,M19,,,,1,fig 8,,"""Species: Rattus norvegicus,Macaca fascicularis""",21177486
