Name of the Plant,Family,Common Name,Link
Cotoneaster bacillaris  Wall. ex. Lindl.,ROSACEAE,Ri (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013734&column=szBarcode
Cotoneaster microphylla  Wall. ex. Lindl.,ROSACEAE,Khariz (Kashmir),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013735&column=szBarcode
Cotula anthemoides  L.,ASTERACEAE,Babuna (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013150&column=szBarcode
Crataeva nurvula  Buch-Ham.,CAPPARACEAE,"Barna, Bilasi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003727&column=szBarcode
Cratoxylum cochinchinense  (Lour.) Blume,HYPERICACEAE,Derum Selunchor,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003815&column=szBarcode
Crescentia cujute  L.,BIGNONIACEAE,Bilayati Bel,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009663&column=szBarcode
Cressa cretica  L.,CONVOLVULACEAE,Rudravanti,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009704&column=szBarcode
Crinum asiaticum  L.,AMARYLLIDACEAE,"Badakanvar, Pindar",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003127&column=szBarcode
Crinum defixum  Ker.-Gawl.,AMARYLLIDACEAE,Sukdarshan (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003129&column=szBarcode
Crinum latifolium  L.,AMARYLLIDACEAE,Sukhdarshan ( Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003251&column=szBarcode
Crocus sativus  L.,IRIDACEAE,"Kesar, Zafran",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003132&column=szBarcode
Crotalaria albida  B.Heyne ex Roth.,FABACEAE,Ban-methi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003623&column=szBarcode
Crotalaria burhia  Buch.-Ham ex Benth.,FABACEAE,Ghagari (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003709&column=szBarcode
Crotalaria juncea  L.,FABACEAE,Sannai Sunn,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003704&column=szBarcode
Crotalaria laburnifolia  L.,FABACEAE,Muna,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003701&column=szBarcode
Crotalaria pallida  Aiton,FABACEAE,"Sen, San",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003699&column=szBarcode
Crotalaria prostrata  Rottl. ex Willd.,FABACEAE,"Vishnukarni, Chotojhunjhuni (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003710&column=szBarcode
Crotalaria retusa  L.,FABACEAE,Ghunghunian,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003707&column=szBarcode
Crotalaria sericea  Retz.,FABACEAE,Jhunjhunia,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003706&column=szBarcode
Croton bonplandianum  Baill.,EUPHORBIACEAE,Kukka mirapa,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008993&column=szBarcode
Croton caudatus  Geisel.,EUPHORBIACEAE,Nanbhantur (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008997&column=szBarcode
Croton oblongifolius  Roxb.,EUPHORBIACEAE,Chucka,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008999&column=szBarcode
Croton tiglium  L.,EUPHORBIACEAE,Jamalgota,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008992&column=szBarcode
Cryptocarya wightiana  Thwaites,LAURACEAE,Neela Vriksha (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008863&column=szBarcode
Cryptolepis buchananii R.Br. ex  Roem. & Schult.,ASCLEPIADACEAE,"Karanta, Kalisar",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009245&column=szBarcode
Cucubalus bacciferous  L.,CARYOPHYLLACEAE,Berry-bearing Catchfly (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003827&column=szBarcode
Cucumis callosus  (Rottl.) Cogn.,CUCURBITACEAE,Kharbooza,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013784&column=szBarcode
Cucumis melo  L.,CUCURBITACEAE,Kharbuja,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013785&column=szBarcode
Cucumis prophetarum  L.,CUCURBITACEAE,Khad-Kachar (Rajasthan),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013783&column=szBarcode
Cucumis sativus  L.,CUCURBITACEAE,Khira,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013782&column=szBarcode
Cucurbita maxima  Duchesne,CUCURBITACEAE,"Lal kumra, Mitha kumra",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013778&column=szBarcode
Cucurbita pepo  L.,CUCURBITACEAE,"Kumra, Safedkaddu",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013779&column=szBarcode
Cupressus sempervirens  L.,CUPRESSACEAE,"Sara, Saras",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009743&column=szBarcode
Curculigo orchioides  Gaertn.,AMARYLLIDACEAE,"Kali musli, Syahmusali",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003115&column=szBarcode
Curcuma angustifolia  Roxb.,ZINGIBERACEAE,Tikhur,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003145&column=szBarcode
Curcuma aromatica  Salisb.,ZINGIBERACEAE,Jangli-haldi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003144&column=szBarcode
Curcuma leucorrhiza  Roxb.,ZINGIBERACEAE,Tikar (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003147&column=szBarcode
Curcuma longa  L.,ZINGIBERACEAE,"Haldi, Halada",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003148&column=szBarcode
Curcuma rubescens  Roxb.,ZINGIBERACEAE,Ruby (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003149&column=szBarcode
Curcuma zeodoria  Roxb.,ZINGIBERACEAE,Kachura,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003146&column=szBarcode
Cuscuta chinensis  Lam.,CONVOLVULACEAE,Dodder (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009701&column=szBarcode
Cuscuta hyalina  Roth.,CONVOLVULACEAE,Niradhari,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009702&column=szBarcode
Cuscuta reflexa  Roxb.,CONVOLVULACEAE,"Akasbel, Amarbel",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009703&column=szBarcode
Cyathula prostrata  Blume,AMARANTHACEAE,Lal Chirchita,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008909&column=szBarcode
Cycas circinalis  L.,CYCADACEAE,Jangli-madan-mast-ka-phul,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009738&column=szBarcode
Cycas rumphii  Miq.,CYCADACEAE,Kama (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009737&column=szBarcode
Cyclea peltata  Hook.f. & Thomson,MENISPERMACEAE,Bruhat patha (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013498&column=szBarcode
Cydonia oblonga  Mill.,ROSACEAE,Bihi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013723&column=szBarcode
Cymbidium simulans  Rolfe,ORCHIDACEAE,Aloe-leafed Cymbidium (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003913&column=szBarcode
Cymbopogon flexuosus  (Nees ex Steud.) Will.Watson,POACEAE,"Lemongrass (Eng.), Kodi-pullu (Mal.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003173&column=szBarcode
Cymbopogon jwarancusa  (Jones) Schult.,POACEAE,Lamajjaka (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003174&column=szBarcode
Cymbopogon martinii  (Roxb.) Will.Watson,POACEAE,Gandh bel,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003171&column=szBarcode
Cymbopogon nardus  (L.) Rendle,POACEAE,Ganjni,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003172&column=szBarcode
Cymbopogon schoenanthus  (L.) Spreng.,POACEAE,Rousaghas,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003175&column=szBarcode
Cynara scolymus  L.,ASTERACEAE,"Hathichak, Hathi-choke",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013671&column=szBarcode
Cynodon dactylon  (L.) Pers.,POACEAE,"Dhub, Hariali",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003247&column=szBarcode
Cynoglossum glochidiatum  Wall. ex Benth.,BORAGINACEAE,Dhalabrauisabta (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009726&column=szBarcode
Cynoglossum lanceolatum  Forsk.,BORAGINACEAE,Kuro (Nepali),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009725&column=szBarcode
Cynometra ramiflora  L.,CAESALPINIACEAE,Madhuka (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003480&column=szBarcode
Cyperus articulatus  L.,CYPERACEAE,Guinea Rush (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003245&column=szBarcode
Cyperus iria  L.,CYPERACEAE,Bara chuncha (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003240&column=szBarcode
Cyperus rotundus  L.,CYPERACEAE,"Motha, Mutha (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003241&column=szBarcode
Cyperus stoloniferous  Retz.,CYPERACEAE,Jatamasi (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003243&column=szBarcode
Cyperus triceps  (Rottb.) Endl.,CYPERACEAE,Nirbisi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003239&column=szBarcode
Cyrtophyllum peregrinum  Blume,LOGANIACEAE,Anan (Burma),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013558&column=szBarcode
Cytisus scoparius  Link.,FABACEAE,Scotch broom (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003697&column=szBarcode
Dactyloctenium aegyptium  (L.) Willd.,POACEAE,"Makra, Makri",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003192&column=szBarcode
Dactylorhiza hatagirea  (D. Don) Soo,ORCHIDACEAE,"Salampanja, Salam",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003157&column=szBarcode
Dalbergia lanceolaria  L.f.,FABACEAE,"Takoli, Bithua",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003647&column=szBarcode
Dalbergia latifolia  Roxb.,FABACEAE,Shisham,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003649&column=szBarcode
Dalbergia pinnata  (Lour.) Prain.,FABACEAE,Keti (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003645&column=szBarcode
Dalbergia sissoo  Roxb. ex DC.,FABACEAE,"Shisham, Sissu",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003651&column=szBarcode
Dalbergia spinosa  Roxb.,FABACEAE,Chillanki (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003642&column=szBarcode
Dalbergia stipulacea  Roxb.,FABACEAE,Tateberi (Nepal),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003643&column=szBarcode
Dalbergia volubilis  Roxb.,FABACEAE,Bhatia,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003644&column=szBarcode
Daphne oleoides  Schreb.,THYMELAEACEAE,Kutilal (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009032&column=szBarcode
Daphne papyracea  Wall. ex Steud.,THYMELAEACEAE,Satpura setburwa,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009030&column=szBarcode
Datisca cannabina  L.,DATISCACEAE,Akalbir,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013773&column=szBarcode
Datura innoxia  Mill.,SOLANACEAE,Safed Dhatura,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009687&column=szBarcode
Datura metal  L.,SOLANACEAE,Sadahdhatura,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009684&column=szBarcode
Datura stramonium  L.,SOLANACEAE,Dhatura,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009685&column=szBarcode
Daucas carota  L.,APIACEAE,Gajar,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013739&column=szBarcode
Decalepis hamiltonii  Wight & Arn.,ASCLEPIADACEAE,Mahali kizhangu (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009242&column=szBarcode
Deeringia amaranthoides  Merill.,AMARANTHACEAE,Latman,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008905&column=szBarcode
Delonix elata  (L.) Gamble,CAESALPINIACEAE,Sankasura (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003516&column=szBarcode
Delphinium brunonianum  Royle,RANUNCULACEAE,Laskar (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009940&column=szBarcode
Delphinium denudatum  Wall. ex Hook.f. & Thomson,RANUNCULACEAE,"Jadwar, Nirbisi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009939&column=szBarcode
Delphinium vestitum  Wall. ex Royle,RANUNCULACEAE,"Juha, Kalulu",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009942&column=szBarcode
Dendrobium crumenatum  Sw.,ORCHIDACEAE,Pigeon Orchid (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003915&column=szBarcode
Dendrobium ovatum  (L.) Kraenzl.,ORCHIDACEAE,Nagli (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003912&column=szBarcode
Dendrocalamus strictus  (Roxb.) Nees,POACEAE,"Bans kaban, Bans khurd",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003178&column=szBarcode
Dendrocnide sinuata  (Bl.) Chaw.,URTICACEAE,"Morange, Utigun",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009011&column=szBarcode
Dendrophthoe elastica  (Desr.) Danser,LORANTHACEAE,Andagan (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009019&column=szBarcode
Dendrophthoe falcata  (L.f.) Ettingshausen,LORANTHACEAE,Banda,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009018&column=szBarcode
Derris ferruginea  (Roxb.) Benth.,FABACEAE,"Ruphang-doukha, Aru (Assam)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003636&column=szBarcode
Derris indica  (Lam.) Bennet.,FABACEAE,"Karanj, Dithori",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003635&column=szBarcode
Derris scandens  (Roxb.) ex. Benth.,FABACEAE,Gonj,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003640&column=szBarcode
Derris trifoliata  Lour.,FABACEAE,Panlata (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003638&column=szBarcode
Descurainia sophia  (L.) Webb ex Prantl,BRASSICACEAE,Khubkallana,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013868&column=szBarcode
Desmodium elegans  DC.,FABACEAE,Sambar,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003672&column=szBarcode
Desmodium gangeticum  (L.) DC.,FABACEAE,"Sarivan, Salpan",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003682&column=szBarcode
Desmodium heterocarpon  (L.) DC.,FABACEAE,Chepputatta (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003680&column=szBarcode
Desmodium pulchellum  (L.) Benth.,FABACEAE,"Chapor, Dheknanadak (Local names)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003679&column=szBarcode
Desmodium triflorum  (L.) DC.,FABACEAE,Kudaliya,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003675&column=szBarcode
Desmodium triquetrum  (L.) DC.,FABACEAE,Adkhapanal (Mal.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003676&column=szBarcode
Desmos chinensis  Lour.,ANNONACEAE,Aitaala (Kannada),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013998&column=szBarcode
Desmos cochinchinensis  Lour.,ANNONACEAE,Dwarf ylang-ylang (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013996&column=szBarcode
Desmostachya bipinnata  (L.) Stapf,POACEAE,"Dab, Durva",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003183&column=szBarcode
Dianthus anatolicus  Boiss.,CARYOPHYLLACEAE,Kanturiyan (Indian Bazaars),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003829&column=szBarcode
Dianthus caryophyllus  L.,CARYOPHYLLACEAE,Clove pink (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003830&column=szBarcode
Dichroa febrifuga  Lour.,SAXIFRAGACEAE,Basak,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013706&column=szBarcode
Dichrostachys cinerea  (L.) Wight & Arn.,MIMOSACEAE,"Kheri, Vartuli",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003476&column=szBarcode
Dicliptera bupleuroides  Nees,ACANTHACEAE,Bouna (Simla),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009064&column=szBarcode
Dicoma tomentosa  Cass.,ASTERACEAE,Navananjichapala (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013673&column=szBarcode
Dictamnus albus  L.,RUTACEAE,Burning Bush (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009976&column=szBarcode
Didymocarpus pedicillatus  R.Br.,GESNERIACEAE,Pathar phori,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009668&column=szBarcode
Digera muricata  (L.) Mart.,AMARANTHACEAE,Latmhuria,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008908&column=szBarcode
Digitalis lanata  Ehrh.,SCROPHULARIACEAE,Grecian Foxglobe (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009672&column=szBarcode
Digitalis purpurea  L.,SCROPHULARIACEAE,Common Foxglove (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009673&column=szBarcode
Dillenia indica  L.,DILLENIACEAE,Chalta,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009922&column=szBarcode
Dimocarpus longan  Lour.,SAPINDACEAE,Ashphal (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003576&column=szBarcode
Dinochloa andamanica  Kurz,POACEAE,Baradaha-barat (Andamans),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003177&column=szBarcode
Dioscorea alata  L.,DIOSCOREACEAE,"Chupri alu, Khamalu",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003102&column=szBarcode
Dioscorea bulbifera  L.,DIOSCOREACEAE,"Ratalu, Suaralu",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003103&column=szBarcode
Dioscorea deltoidea  Wall. ex Kunth,DIOSCOREACEAE,"Kins (Kash.), Kriss (Punjab)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003106&column=szBarcode
Dioscorea esculenta  Burkill,DIOSCOREACEAE,"Suthni, Su nialu (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003107&column=szBarcode
Dioscorea oppositifolia  L.,DIOSCOREACEAE,"Yellagadda, Adairdumpa (Tel.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003110&column=szBarcode
Dioscorea pentaphylla  L.,DIOSCOREACEAE,"Bhusa, Gazaria",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003111&column=szBarcode
Diospyros candolleana  Wight,EBENACEAE,Nila-vriksha (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009216&column=szBarcode
Diospyros ebenum  Koenig,EBENACEAE,"Ebans, Abnus",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009210&column=szBarcode
Diospyros exsculpta  Buch.-Ham.,EBENACEAE,Coromandel Ebony Persimmon (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009213&column=szBarcode
Diospyros kaki  L.f.,EBENACEAE,Halwa tendu,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009218&column=szBarcode
Diospyros malabarica  (Desr.) Kostel.,EBENACEAE,Gaab,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009208&column=szBarcode
Diospyros melanoxylon  Roxb.,EBENACEAE,"Tendu, Timburni",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009212&column=szBarcode
Diospyros montana  Roxb.,EBENACEAE,"Bistendu, Tendu",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009207&column=szBarcode
Diospyros paniculata  Dalzell,EBENACEAE,Thinduka (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009214&column=szBarcode
Diospyros toposia  Buch.-Ham.,EBENACEAE,Tapsi (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009217&column=szBarcode
Diploclisia glaucescens  (Blume) Diels,MENISPERMACEAE,Vatoli (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013988&column=szBarcode
Dipterocarpus indicus  Bedd.,DIPTEROCARPACEAE,Kakka (Mal.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003795&column=szBarcode
Dipterocarpus turbinatus  Gaertn.f.,DIPTEROCARPACEAE,Teli-gurjun (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003791&column=szBarcode
Dodonaea viscosa  (L.) Jacq.,SAPINDACEAE,"Sanatta, Sinatha",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003578&column=szBarcode
