Name of the Plant,Family,Common Name,Link
Arisaema leschenaultii  Blume,ARACEAE,Pambucholam (Malayalam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003226&column=szBarcode
Arisaema speciosum  (Wall.) Mart.,ARACEAE,"Samo-ki-khumb, Kiralu( Punjab)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003225&column=szBarcode
Arisaema tortuosum  (Wall.) Schott,ARACEAE,"Bagh Jandhra, Lin Cheisu (Manipuri)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003227&column=szBarcode
Aristida depressa  Retz.,POACEAE,sixweeks threeawn (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003186&column=szBarcode
Aristolochia bracteolata  Lam.,ARISTOLOCHIACEAE,Kitamari,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008873&column=szBarcode
Aristolochia indica  L.,ARISTOLOCHIACEAE,Ishvari mul (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008869&column=szBarcode
Aristolochia tagala  Chem.,ARISTOLOCHIACEAE,Nallayiswari (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008872&column=szBarcode
Arnebia benthamii  (Wall.ex G. Don) Johnston,BORAGINACEAE,Kashmiri kahzaban (Kashmir),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009724&column=szBarcode
Arnebia euchroma  (Royle) Johnston,BORAGINACEAE,"Laljiri (Garhwal), Aam (Ladh.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013156&column=szBarcode
Arnica montana  L.,ASTERACEAE,Leopard's bane (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013629&column=szBarcode
Artabotrys hexapetalus  (L.f.) Bhandari,ANNONACEAE,Hara Champaka (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000014000&column=szBarcode
Artabotrys suaveolens  Blume,ANNONACEAE,Koluvaravalli (Mal.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009913&column=szBarcode
Artanema longifolium  (L). Vatke,SCROPHULARIACEAE,Kokilaksha (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009675&column=szBarcode
