drug_name, chembl_id, molecular_weight, logP, polar_surface_area, h_bond_donors, h_bond_acceptors, is_natural_product, current_indications
"ESOMEPRAZOLE STRONTIUM", "CHEMBL2146140", 345.42, 2.9, 83.09, 1, 5, FALSE, "gastroesophageal reflux disease; gastric ulcer; duodenal ulcer; Zollinger-Ellison Syndrome; "
"ESOMEPRAZOLE MAGNESIUM", "CHEMBL5314366", 345.42, 2.9, 83.09, 1, 5, FALSE, "rheumatoid arthritis; ankylosing spondylitis; osteoarthritis; chronic pancreatitis; gastroesophageal reflux disease; "
"UPADACITINIB HEMIHYDRATE", "CHEMBL5315119", 380.37, 2.91, 78.32, 2, 4, FALSE, "rheumatoid arthritis; "
"FLUOROMETHOLONE", "CHEMBL1200600", 376.47, 2.92, 74.6, 2, 4, FALSE, "acne; eye inflammation; inflammation; hemorrhoid; dry eye syndrome; "
"VALDECOXIB", "CHEMBL865", 314.37, 2.96, 86.19, 1, 4, TRUE, "rheumatoid arthritis; rheumatic disease; pain; osteoarthritis; pancreatitis; "
"RABEPRAZOLE SODIUM", "CHEMBL1200930", 359.45, 2.99, 83.09, 1, 5, FALSE, "gastroesophageal reflux disease; Helicobacter pylori infectious disease; cerebrovascular disorder; duodenal ulcer; Laryngopharyngeal Reflux; "
"RABEPRAZOLE", "CHEMBL1219", 359.45, 2.99, 83.09, 1, 5, TRUE, "infectious disease; amyotrophic lateral sclerosis; lymphoma; neoplasm; gastroesophageal reflux disease; "
"BINIMETINIB", "CHEMBL3187723", 441.23, 3.01, 88.41, 3, 6, FALSE, "lung cancer; rheumatoid arthritis; breast cancer; cutaneous melanoma; pancreatic carcinoma; "
"NAPROXEN SODIUM", "CHEMBL1200806", 230.26, 3.04, 46.53, 1, 2, TRUE, "Alzheimer disease; rheumatoid arthritis; ankylosing spondylitis; gout; toothache; "
"NAPROXEN", "CHEMBL154", 230.26, 3.04, 46.53, 1, 2, TRUE, "Arthralgia; Myalgia; COVID-19; injury; Alzheimer disease; "
"DIFLUNISAL", "CHEMBL898", 250.2, 3.04, 57.53, 2, 2, FALSE, "rheumatoid arthritis; pain; osteoarthritis; Fever; type 2 diabetes mellitus; "
"KETOPROFEN", "CHEMBL571", 254.29, 3.11, 54.37, 1, 2, TRUE, "Arthralgia; Myalgia; nephrolithiasis; post operative nausea and vomiting; injury; "
"HYDROCORTISONE BUTYRATE", "CHEMBL1683", 432.56, 3.13, 100.9, 2, 6, TRUE, "atopic eczema; skin disease; seborrheic dermatitis; psoriasis vulgaris; "
"BESIFLOXACIN HYDROCHLORIDE", "CHEMBL1201761", 393.85, 3.14, 88.56, 2, 5, FALSE, "bacterial conjunctivitis; cataract; corneal ulcer; "
"CETIRIZINE", "CHEMBL1000", 388.9, 3.15, 53.01, 1, 4, TRUE, "COVID-19; pemphigus; allergic conjunctivitis; multiple sclerosis; dermatitis; "
"LEVOCETIRIZINE", "CHEMBL1201191", 388.9, 3.15, 53.01, 1, 4, TRUE, "asthma; diabetic nephropathy; dermatitis; Eczematoid dermatitis; colorectal neoplasm; "
"FINGOLIMOD", "CHEMBL314854", 307.48, 3.2, 66.48, 3, 3, TRUE, "COVID-19; schizophrenia; asthma; chronic progressive multiple sclerosis; breast carcinoma; "
"LEFLUNOMIDE", "CHEMBL960", 270.21, 3.25, 55.13, 1, 3, FALSE, "COVID-19; rheumatoid arthritis; prostate cancer; breast cancer; neoplasm; "
"ACALABRUTINIB", "CHEMBL3707348", 465.52, 3.31, 118.51, 2, 7, TRUE, "COVID-19; rheumatoid arthritis; head and neck squamous cell carcinoma; infectious disease; hematopoietic and lymphoid cell neoplasm; "
